timestamp,context,years_bucket,relationship,traits_raw,traits_list,traits_text,spontaneity_raw,sim_planned_mean,sim_spontaneous_mean,spontaneity_score,num_traits,num_words,low_confidence
2025-11-16 13:44:48.618,Home,7+,Close friends,"Outgoing, spontaneous, adventurous","['Outgoing', 'spontaneous', 'adventurous']","Outgoing, spontaneous, adventurous",0.23302643,0.20279826,0.4358247,2.7377048,3,3,False
2025-11-16 13:46:40.510,Northwestern,1-3,Close friends,"Wise, Performative, Perceptive, Disciplined, Naturally talented, crash out","['Wise', 'Performative', 'Perceptive', 'Disciplined', 'Naturally talented', 'crash out']","Wise, Performative, Perceptive, Disciplined, Naturally talented, crash out",0.049012437,0.19658114,0.24559358,-1.1428719,6,8,False
2025-11-16 14:02:20.597,Home,1-3,Close friends,"Open-minded, realist, opinionated","['Open-minded', 'realist', 'opinionated']","Open-minded, realist, opinionated",0.045864835,0.1837071,0.22957194,-1.2092501,3,3,False
2025-11-16 14:18:42.846,Home,7+,Same large friend group / teammates / coworkers,"Irrepressible, upbeat, active, focused","['Irrepressible', 'upbeat', 'active', 'focused']","Irrepressible, upbeat, active, focused",0.059968546,0.23060726,0.2905758,-0.91182417,4,4,False
2025-11-16 14:40:26.026,Home,7+,Close friends,"Sexy beast, music, does things","['Sexy beast', 'music', 'does things']","Sexy beast, music, does things",0.066128716,0.15958095,0.22570966,-0.7819155,3,5,False
2025-11-16 15:09:30.992,Home,7+,Close friends,"Loyal, thinker, intelligent","['Loyal', 'thinker', 'intelligent']","Loyal, thinker, intelligent",0.08180304,0.13369901,0.21550205,-0.45136774,3,3,False
2025-11-16 15:13:02.105,Wisconsin,1-3,Close friends,"Hardworking, creative, intelligent, kind","['Hardworking', 'creative', 'intelligent', 'kind']","Hardworking, creative, intelligent, kind",0.09480174,0.18663733,0.28143907,-0.1772448,4,4,False
2025-11-16 15:22:43.138,Wisconsin,4-6,Close friends,"Intelligent, creative, supportive ","['Intelligent', 'creative', 'supportive']","Intelligent, creative, supportive",0.07548557,0.2209252,0.29641077,-0.58459353,3,3,False
2025-11-16 15:23:45.796,Northwestern,1-3,Same large friend group / teammates / coworkers,"creative, fun, stylish","['creative', 'fun', 'stylish']","creative, fun, stylish",0.14648831,0.21496949,0.3614578,0.9127467,3,3,False
2025-11-16 15:25:55.273,Northwestern,1-3,Hung out 1–1 a decent amount,"Resilient, emotionally mature, passionate (about the things you choose to care about)","['Resilient', 'emotionally mature', 'passionate (about the things you choose to care about)']","Resilient, emotionally mature, passionate (about the things you choose to care about)",0.13529348,0.10521508,0.24050856,0.6766648,3,12,False
